2026-03-23 10:32:13 | INFO     | AIPipeline | main.py:67 | -> Result [DSC04859_analog-gauge_0.jpg]: 4.91 bar (R2: 1.00)
2026-03-23 10:32:13 | INFO     | AIPipeline | main.py:58 | Processing: DSC02811_analog-gauge_0.jpg ...
2026-03-23 10:32:13 | INFO     | AIPipeline | main.py:67 | -> Result [DSC02811_analog-gauge_0.jpg]: 7.02 bar (R2: 1.00)
2026-03-23 10:32:13 | INFO     | AIPipeline | main.py:58 | Processing: DSC02427_analog-gauge_0.jpg ...
2026-03-23 10:32:13 | INFO     | AIPipeline | main.py:67 | -> Result [DSC02427_analog-gauge_0.jpg]: 8.00 bar (R2: 0.00)
2026-03-23 10:32:13 | INFO     | AIPipeline | main.py:58 | Processing: DSC02614_analog-gauge_0.jpg ...
2026-03-23 10:32:13 | WARNING  | AIPipeline | main.py:76 | -> Failed to calculate gauge value for: DSC02614_analog-gauge_0.jpg
2026-03-23 10:32:13 | INFO     | AIPipeline | main.py:58 | Processing: DSC02479_analog-gauge_0.jpg ...
2026-03-23 10:32:13 | INFO     | AIPipeline | main.py:67 | -> Result [DSC02479_analog-gauge_0.jpg]: 12.81 bar (R2: 1.00)
2026-03-23 10:32:13 | INFO     | AIPipeline | main.py:58 | Processing: DSC04906_analog-gauge_0.jpg ...
2026-03-23 10:32:13 | INFO     | AIPipeline | main.py:67 | -> Result [DSC04906_analog-gauge_0.jpg]: 5.74 bar (R2: 1.00)
2026-03-23 10:32:13 | INFO     | AIPipeline | main.py:58 | Processing: DSC02661_analog-gauge_0.jpg ...
2026-03-23 10:32:13 | INFO     | AIPipeline | main.py:67 | -> Result [DSC02661_analog-gauge_0.jpg]: 83.70 PSI (R2: 1.00)
2026-03-23 10:32:14 | INFO     | AIPipeline | main.py:58 | Processing: DSC03007_analog-gauge_0.jpg ...
2026-03-23 10:32:14 | INFO     | AIPipeline | main.py:67 | -> Result [DSC03007_analog-gauge_0.jpg]: 97.74 bar (R2: 1.00)
2026-03-23 10:32:14 | INFO     | AIPipeline | main.py:58 | Processing: DSC04914_analog-gauge_0.jpg ...
2026-03-23 10:32:14 | INFO     | AIPipeline | main.py:67 | -> Result [DSC04914_analog-gauge_0.jpg]: 5.71 bar (R2: 1.00)
2026-03-23 10:32:14 | INFO     | AIPipeline | main.py:58 | Processing: DSC02447_analog-gauge_0.jpg ...
2026-03-23 10:32:14 | INFO     | AIPipeline | main.py:67 | -> Result [DSC02447_analog-gauge_0.jpg]: 0.00  (R2: 0.00)
2026-03-23 10:32:14 | INFO     | AIPipeline | main.py:58 | Processing: DSC04960_analog-gauge_0.jpg ...
2026-03-23 10:32:14 | INFO     | AIPipeline | main.py:67 | -> Result [DSC04960_analog-gauge_0.jpg]: 21.72 bar (R2: 1.00)
2026-03-23 10:32:14 | INFO     | AIPipeline | main.py:58 | Processing: DSC02458_analog-gauge_0.jpg ...
2026-03-23 10:32:14 | INFO     | AIPipeline | main.py:67 | -> Result [DSC02458_analog-gauge_0.jpg]: 125.58 psi (R2: 1.00)
2026-03-23 10:32:14 | INFO     | AIPipeline | main.py:58 | Processing: DSC04847_analog-gauge_0.jpg ...
2026-03-23 10:32:14 | INFO     | AIPipeline | main.py:67 | -> Result [DSC04847_analog-gauge_0.jpg]: 0.00  (R2: 0.00)
2026-03-23 10:32:14 | INFO     | AIPipeline | main.py:58 | Processing: DSC04959_analog-gauge_3.jpg ...
2026-03-23 10:32:14 | INFO     | AIPipeline | main.py:67 | -> Result [DSC04959_analog-gauge_3.jpg]: 0.00  (R2: 0.00)
2026-03-23 10:32:14 | INFO     | AIPipeline | main.py:58 | Processing: DSC04959_analog-gauge_2.jpg ...
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:67 | -> Result [DSC04959_analog-gauge_2.jpg]: 0.00  (R2: 0.00)
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:58 | Processing: DSC02687_analog-gauge_0.jpg ...
2026-03-23 10:32:15 | WARNING  | AIPipeline | main.py:76 | -> Failed to calculate gauge value for: DSC02687_analog-gauge_0.jpg
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:58 | Processing: DSC04894_analog-gauge_0.jpg ...
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:67 | -> Result [DSC04894_analog-gauge_0.jpg]: 8.25 bar (R2: 1.00)
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:58 | Processing: DSC05005_analog-gauge_0.jpg ...
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:67 | -> Result [DSC05005_analog-gauge_0.jpg]: 1.27 bar (R2: 0.99)
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:58 | Processing: DSC04916_analog-gauge_0.jpg ...
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:67 | -> Result [DSC04916_analog-gauge_0.jpg]: -5.33 bar (R2: 1.00)
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:58 | Processing: DSC04978_analog-gauge_0.jpg ...
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:67 | -> Result [DSC04978_analog-gauge_0.jpg]: 0.00  (R2: 0.00)
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:58 | Processing: DSC04960_analog-gauge_1.jpg ...
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:67 | -> Result [DSC04960_analog-gauge_1.jpg]: 0.00  (R2: 0.00)
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:58 | Processing: DSC02627_analog-gauge_0.jpg ...
2026-03-23 10:32:15 | WARNING  | AIPipeline | main.py:76 | -> Failed to calculate gauge value for: DSC02627_analog-gauge_0.jpg
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:58 | Processing: DSC02881_analog-gauge_0.jpg ...
2026-03-23 10:32:15 | WARNING  | AIPipeline | main.py:76 | -> Failed to calculate gauge value for: DSC02881_analog-gauge_0.jpg
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:58 | Processing: DSC02638_analog-gauge_0.jpg ...
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:67 | -> Result [DSC02638_analog-gauge_0.jpg]: 0.85 bar (R2: 0.99)
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:58 | Processing: DSC02874_analog-gauge_0.jpg ...
2026-03-23 10:32:15 | WARNING  | AIPipeline | main.py:76 | -> Failed to calculate gauge value for: DSC02874_analog-gauge_0.jpg
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:58 | Processing: DSC05204_analog-gauge_0.jpg ...
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:67 | -> Result [DSC05204_analog-gauge_0.jpg]: 0.00  (R2: 0.00)
2026-03-23 10:32:15 | INFO     | AIPipeline | main.py:58 | Processing: DSC05695_analog-gauge_0.jpg ...
2026-03-23 10:32:16 | INFO     | AIPipeline | main.py:67 | -> Result [DSC05695_analog-gauge_0.jpg]: 0.00  (R2: 0.00)
2026-03-23 10:32:16 | INFO     | AIPipeline | main.py:58 | Processing: DSC02619_analog-gauge_0.jpg ...
2026-03-23 10:32:16 | INFO     | AIPipeline | main.py:67 | -> Result [DSC02619_analog-gauge_0.jpg]: 0.00  (R2: 0.00)
2026-03-23 10:32:16 | INFO     | AIPipeline | main.py:58 | Processing: DSC02391_analog-gauge_0.jpg ...
2026-03-23 10:32:16 | INFO     | AIPipeline | main.py:67 | -> Result [DSC02391_analog-gauge_0.jpg]: 8.00 bar (R2: 0.00)
